category,title,description,price,quantity,detail,images
House Garden,Honorable,Galactorrhea,100,20,Crimson,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mr,"Primary blast injury of transverse colon, subsequent encounter",100,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,"Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional), sequela",100,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Ms,"Salter-Harris Type II physeal fracture of lower end of ulna, left arm, subsequent encounter for fracture with routine healing",100,20,Fuscia,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mr,Painful ejaculation,100,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Honorable,"Exposure to smoke in uncontrolled fire, not in building or structure, sequela",100,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Other specific arthropathies, not elsewhere classified, unspecified elbow",100,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Dr,"Poisoning by emollients, demulcents and protectants, undetermined, sequela",100,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Rev,"Nondisplaced fracture of lateral malleolus of left fibula, sequela",100,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mrs,Furuncle of face,100,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Honorable,"Laceration with foreign body of unspecified wrist, initial encounter",100,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Ms,"Displaced comminuted fracture of unspecified patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",100,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Honorable,Non-pressure chronic ulcer of right calf with necrosis of bone,100,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Mr,"Corrosion of unspecified degree of unspecified hand, unspecified site, subsequent encounter",100,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,Pain in right upper arm,100,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Other noninfective acute otitis externa, right ear",100,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Dr,"Anaphylactic reaction due to unspecified food, subsequent encounter",100,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Dr,"Toxic effect of venom of other North and South American snake, accidental (unintentional)",100,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Dr,"Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional)",100,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Dr,"Chronic hepatitis, unspecified",100,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mrs,"Pigmentary glaucoma, right eye, severe stage",100,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Honorable,"Unspecified fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing",100,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,"Bipolar disorder, in partial remission, most recent episode mixed",100,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Ms,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes",100,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,Hypotension of hemodialysis,100,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mr,NIHSS score 37,100,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Rev,"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with nonunion",100,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Adverse effect of antiallergic and antiemetic drugs, initial encounter",100,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,"Other chondrocalcinosis, unspecified wrist",100,20,Khaki,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Rev,"Pathological fracture in other disease, left foot, initial encounter for fracture",100,20,Crimson,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Ms,"Anterior dislocation of left radial head, sequela",100,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Honorable,Intentional self-harm by drowning and submersion,100,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Dr,Non-pressure chronic ulcer of skin of other sites,100,20,Fuscia,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,Congenital dilatation of esophagus,100,20,Fuscia,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Dr,Unspecified contact dermatitis due to other chemical products,100,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Ms,"Nondisplaced transverse fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture",100,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,"Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb",100,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Honorable,"Forced landing of other private fixed-wing aircraft injuring occupant, initial encounter",100,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Ms,"Military operations involving rubber bullets, civilian",100,20,Khaki,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Mrs,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",100,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Rev,"Abrasion, left ankle, subsequent encounter",100,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Displaced segmental fracture of shaft of left femur, subsequent encounter for open fracture type I or II with nonunion",100,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mrs,Hemorrhoids and perianal venous thrombosis,100,20,Crimson,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Dr,"Sprain of right rotator cuff capsule, sequela",100,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Honorable,"Crushing injury of right hip with thigh, sequela",100,20,Blue,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Honorable,Puncture wound with foreign body of breast,100,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,"Antepartum hemorrhage with coagulation defect, unspecified, third trimester",100,20,Indigo,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Honorable,Hypoplasia of aorta,100,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mr,"Subluxation of metacarpal (bone), proximal end of left hand",100,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"External constriction of right forearm, initial encounter",100,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Other spondylosis with radiculopathy, occipito-atlanto-axial region",100,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mr,Malignant neoplasm of long bones of lower limb,100,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Books,Honorable,"Physeal arrest, humerus",100,20,Teal,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mr,"Unspecified fracture of shaft of right tibia, initial encounter for closed fracture",100,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Books,Rev,"Edema of unspecified eye, unspecified eyelid",100,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Rev,Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident,100,20,Blue,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Honorable,"Injury of peripheral nerves of neck, subsequent encounter",100,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Rev,Nontoxic multinodular goiter,100,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,"Injury of other nerves at hip and thigh level, unspecified leg, initial encounter",100,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Dr,"Acute hematogenous osteomyelitis, hand",100,20,Green,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Honorable,"Unspecified physeal fracture of unspecified metatarsal, subsequent encounter for fracture with routine healing",100,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Dr,Injury of other muscles and tendons at lower leg level,100,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Rev,Psychophysiologic insomnia,100,20,Goldenrod,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Honorable,"Burn of third degree of unspecified multiple fingers (nail), not including thumb, sequela",100,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Contact blepharoconjunctivitis, left eye",100,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,"Contusion of rectum, initial encounter",100,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mrs,"Poisoning by, adverse effect of and underdosing of chloramphenicol group",100,20,Khaki,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mrs,"Crushing injury of left forearm, initial encounter",100,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Rev,"Other infective bursitis, ankle and foot",100,20,Teal,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Honorable,"Displaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",100,20,Maroon,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Mrs,Malignant carcinoid tumors of other sites,100,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Ms,Contracture of muscle,100,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Rev,"Breakdown (mechanical) of internal fixation device of right humerus, initial encounter",100,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Honorable,"Abrasion of right middle finger, sequela",100,20,Red,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mrs,Other specified spirochetal infections,100,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified",100,20,Khaki,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Rev,"Nondisplaced transverse fracture of shaft of humerus, left arm, initial encounter for closed fracture",100,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mrs,Middle school as the place of occurrence of the external cause,100,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mr,Person on outside of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident,150,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mrs,Encounter for adjustment and management of other implanted hearing device,150,20,Crimson,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Dr,"Burn of second degree of upper back, subsequent encounter",150,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mr,"Idiopathic chronic gout, left hip, with tophus (tophi)",150,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mrs,"Nondisplaced fracture of coronoid process of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",150,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mrs,Cerebral infarction due to thrombosis of right vertebral artery,150,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Dr,"Other injury of muscle, fascia and tendon of triceps, right arm",150,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,Benign lipomatous neoplasm of other sites,150,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mr,"Traumatic rupture of palmar ligament of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",150,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,Round hole of retina without detachment,150,20,Goldenrod,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Rev,"Adverse effect of other drug primarily affecting the autonomic nervous system, initial encounter",150,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Dr,"Rupture of synovium, left ankle",150,20,Indigo,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mrs,"Corrosion of unspecified eye and adnexa, part unspecified, subsequent encounter",150,20,Fuscia,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Mr,"Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter",150,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Honorable,"Passenger on bus injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",150,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Ms,"Felty's syndrome, right wrist",150,20,Mauv,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Nondisplaced fracture of proximal third of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with malunion",150,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Honorable,"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",150,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,Postprocedural stenosis of right external ear canal,150,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Rev,"Unspecified open wound of unspecified great toe without damage to nail, subsequent encounter",150,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Honorable,Car driver injured in collision with fixed or stationary object in nontraffic accident,150,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Dr,"Unspecified fracture of lower end of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",150,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Unspecified open wound of left middle finger without damage to nail, initial encounter",150,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Mr,Other specified injuries of external genitals,150,20,Red,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Dr,Other specified disorders of conjunctiva,150,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mrs,"Nondisplaced fracture of trapezoid [smaller multangular], right wrist, sequela",150,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Honorable,"Legal intervention involving bayonet, suspect injured, subsequent encounter",150,20,Blue,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Mrs,Pneumonia due to staphylococcus aureus,150,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Dr,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified",150,20,Teal,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Rev,"Other specified crystal arthropathies, hand",150,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Honorable,"Displaced spiral fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with malunion",150,20,Indigo,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Honorable,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",150,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Mr,Burn of third degree of unspecified single finger (nail) except thumb,150,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mr,Primary angle closure without glaucoma damage,150,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Honorable,"Other recurrent vertebral dislocation, lumbosacral region",150,20,Orange,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,"Unspecified nonpowered-aircraft accident injuring occupant, subsequent encounter",150,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Books,Ms,"Chronic multifocal osteomyelitis, unspecified ankle and foot",150,20,Yellow,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Rev,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",150,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Mrs,Malignant neoplasm of supraglottis,150,20,Turquoise,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,Aphakia,150,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Mr,"Laceration of pleura, subsequent encounter",150,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,Burn of left eyelid and periocular area,150,20,Mauv,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Honorable,"Posterior dislocation of right acromioclavicular joint, subsequent encounter",150,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Mr,"Nondisplaced spiral fracture of shaft of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing",150,20,Purple,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Maternal care for other (suspected) fetal abnormality and damage, fetus 4",150,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Mr,"Toxic effect of contact with other venomous fish, intentional self-harm",150,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Honorable,"Dislocation of right acromioclavicular joint, greater than 200% displacement, initial encounter",150,20,Goldenrod,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Ms,"Other physeal fracture of lower end of unspecified fibula, subsequent encounter for fracture with routine healing",150,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Dr,"Rheumatoid arthritis without rheumatoid factor, left shoulder",150,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Honorable,"Nondisplaced transverse fracture of shaft of left ulna, initial encounter for open fracture type I or II",150,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Ms,Nondisplaced other extraarticular fracture of left calcaneus,150,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mr,"Other injury of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter",150,20,Blue,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Rev,"Adolescent idiopathic scoliosis, thoracic region",150,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Rev,"Military operations involving fragments from weapons, civilian, sequela",150,20,Turquoise,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Ms,"Torus fracture of lower end of right humerus, subsequent encounter for fracture with delayed healing",150,20,Khaki,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mr,"Maternal care for other specified fetal problems, second trimester, not applicable or unspecified",150,20,Orange,/home/cyber_mizdav/Pictures/store1.jpg
Books,Ms,"Placentitis, second trimester, other fetus",150,20,Crimson,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Mr,Complications associated with artificial fertilization,150,20,Turquoise,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Mrs,Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra,150,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Rev,"Exposure to unspecified man-made visible and ultraviolet light, sequela",150,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Rev,"Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, initial encounter",150,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Dr,"Displaced trimalleolar fracture of unspecified lower leg, initial encounter for closed fracture",150,20,Blue,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Dr,"Adhesions due to foreign body accidentally left in body following heart catheterization, initial encounter",150,20,Purple,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder",150,20,Teal,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mr,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",150,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"Exposure keratoconjunctivitis, right eye",150,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Dr,"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization",150,20,Fuscia,/home/cyber_mizdav/Pictures/store1.jpg
Men's Clothing,Mr,"Chronic angle-closure glaucoma, left eye, mild stage",150,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Dr,Corneal ulcer with hypopyon,150,20,Turquoise,/home/cyber_mizdav/Pictures/store1.jpg
Books,Rev,Corrosion of unspecified degree of right forearm,150,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Rev,"Nondisplaced transverse fracture of shaft of unspecified ulna, initial encounter for closed fracture",150,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Mrs,"Obstruction due to foreign body accidentally left in body following aspiration, puncture or other catheterization",150,20,Yellow,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Mr,Other subluxation and dislocation of ulnohumeral joint,150,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Rev,"Displaced unspecified fracture of left lesser toe(s), initial encounter for open fracture",150,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Ms,"Penetrating wound with foreign body of unspecified eyeball, initial encounter",150,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Ms,"Burn of unspecified degree of multiple sites of head, face, and neck, subsequent encounter",150,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Honorable,"Other specified joint disorders, unspecified hand",150,20,Fuscia,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,Other contact with alligator,150,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
House Garden,Ms,"Displaced fracture of medial cuneiform of unspecified foot, initial encounter for open fracture",150,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Major laceration of greater saphenous vein at hip and thigh level, unspecified leg, subsequent encounter",150,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Accessories,Rev,"Other mechanical complication of internal left knee prosthesis, initial encounter",150,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Dr,"Displaced transverse fracture of right patella, sequela",150,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Rev,"Pathological fracture, left femur, subsequent encounter for fracture with malunion",150,20,Maroon,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Rev,"Dislocation of metacarpophalangeal joint of left thumb, sequela",150,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Honorable,"Insect bite (nonvenomous), left knee, subsequent encounter",150,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Rev,"Physeal arrest, femur",150,20,Violet,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Mrs,"Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion",150,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Men's Clothing,Mrs,"Acute bronchiolitis, unspecified",150,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,"Injury of femoral nerve at hip and thigh level, unspecified leg",150,20,Goldenrod,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Mr,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 2",150,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,"Complication of surgical and medical care, unspecified, subsequent encounter",150,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Ms,Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level,150,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Dr,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",150,20,Red,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Honorable,"Other extraarticular fracture of lower end of right radius, subsequent encounter for open fracture type I or II with routine healing",150,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
